source,dataset,question_id,paraphrase_index,semantic_equivalence,answer_invariance,information_preservation,min_score,passed,rationale,original_question,paraphrase
gpt4o,arc,Mercury_7017938,0,5,5,5,5,1,"The paraphrase perfectly preserves the original meaning, correct answer, and all relevant information.",What causes a ship carrying heavy cargo to take more time to come to a stop than an identical ship carrying lighter cargo if both ships are traveling at the same speed?,Why does a ship with heavy cargo require more time to stop compared to an identical ship with lighter cargo when both are moving at the same speed?
gpt4o,arc,MCAS_2004_9_5,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",The voltage is held constant in an electric circuit. What will happen to the current in this circuit if the resistance is doubled?,"In an electric circuit where the voltage remains unchanged, what is the effect on the current if the resistance is increased twofold?"
gpt4o,arc,Mercury_7212888,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Researchers at a science laboratory have found ways to make carbon nanotubes from recycled plastic grocery bags. These nanotubes are then used as components of batteries. This approach best illustrates the ability of technology to,"A scientific laboratory has identified ways to manufacture carbon nanotubes from recycled plastic grocery bags, using them later in battery production. This strategy highlights the technological capability to"
gpt4o,arc,AKDE&ED_2012_8_6,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Which change in Earth's surface is most directly related to the water cycle?,"In relation to the water cycle, which change in Earth's surface is most directly connected?"
gpt4o,arc,MCAS_2002_8_11,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately","Two glasses of water, one initially at 110°F and the other at 50°F, are left in a room where the temperature is constantly 73°F. By the following day, what would be the approximate temperature of both glasses?"
gpt4o,arc,Mercury_7058135,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","A student is investigating different types of trees. Two trees are found to have similar growth rates, temperature ranges, and sizes, but different leaves and flowers. The trees are most likely in","A student researching tree varieties observes two trees with comparable growth rates, temperature ranges, and sizes, although their leaves and flowers are different. These trees are likely categorized in"
gpt4o,arc,Mercury_404820,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","An atom of chromium has 24 protons, 28 neutrons, and 24 electrons. How many subatomic particles are in the nucleus of a chromium atom?","In a chromium atom, there are 24 protons, 28 neutrons, and 24 electrons. What is the total number of subatomic particles located in the nucleus?"
gpt4o,arc,Mercury_7212818,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Scientists present the results of their investigations to others for review because,What is the purpose of scientists presenting their research results to others for critique?
gpt4o,arc,Mercury_405136,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",Which statement is true about rocks?,Identify the statement that correctly pertains to rocks.
gpt4o,arc,Mercury_SC_406836,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.","A scientist was digging for dinosaur bones in a dry river bed. It started to rain and the scientist had to leave the area. If another scientist wanted to continue digging in the same place, he would have to","During a dig for dinosaur bones in a dry riverbed, a scientist had to leave when it started raining. What is necessary for a different scientist to continue excavating at the same site?"
gpt4o,arc,TIMSS_2003_8_pg87,2,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all relevant information.",David makes a solution by dissolving 10 grams of salt in 100 ml of water. He wants a solution that is half as concentrated. What should he add to the original solution to obtain a solution that is about half as concentrated?,"David dissolves 10 grams of salt in 100 ml of water to create a solution. In order to make the solution have half the concentration, what addition should he make to it?"
gpt4o,arc,Mercury_177748,1,5,5,5,5,1,"The paraphrased question fully preserves the original meaning, correct answer, and all relevant information.","Gabbro and basalt are classified as igneous rocks. Even though the names are different, they have the same chemical composition. Geologists normally use what feature for identification purposes to differentiate between these two rock types?","Although gabbro and basalt have different names, they are both classified as igneous rocks and possess the same chemical makeup. What feature do geologists generally rely on to tell these two rock types apart?"
gpt4o,arc,MDSA_2011_5_3,0,5,5,5,5,1,"The paraphrase fully preserves the original meaning, correct answer, and all task-relevant information.","A student filled three beakers, each with 50 milliliters of liquid water. The student cooled Beaker 1 to form ice. The student heated Beaker 2 to form water vapor (gas). Beaker 3 remained at room temperature. What process takes place when liquid water changes to a vapor (gas)?","A student has three beakers, each containing 50 milliliters of liquid water. Beaker 1 is cooled to turn the water into ice, Beaker 2 is heated to turn the water into vapor (gas), and Beaker 3 is kept at room temperature. What is the name of the process where liquid water changes into vapor (gas)?"
